Station Name,R (M2),Delta phi (M2),D (M2),R (K1),Delta phi (K1),D (K1)
Port Renfrew,1.1553191381547145,-9.3991266192223293,0.16625968635164406,1.0291443414776489,-4.9359440847738654,0.04172158641576177
Sheringham Point,1.1946542744556139,-16.465372749493611,0.17951281490594123,0.99955460993920353,-4.4402679026497935,0.042449136254617534
Pedder Bay,0.95676982408579903,-27.386542753245635,0.15906925953293855,0.99421024919208478,-2.4129223563400615,0.026575734059609526
Esquimalt,0.90740748308662078,-23.088864387736862,0.14399509090312343,0.99491693321090791,-1.0443426948341994,0.012138422416571292
Victoria,0.88959811685180168,-17.770543659132954,0.11621831470094526,1.039631936855433,-1.8296860516555853,0.03215965818925174
Clover Point,0.82719575629204012,-17.950893956414745,0.13389999207757569,1.0289384330147766,-2.2259381720628539,0.031387389318179457
Finnerty Cove,0.83361723742867866,-8.2426413096681586,0.094724010452139434,1.0247228204052041,-2.1852866365092041,0.032457726809985273
Fulford Harbour,0.82136982821159477,-3.0812832317296959,0.10776225471777347,1.000740680703692,-0.62729700758376339,0.0082659926571644893
Tumbo Channel,1.0491719773313948,2.0267611853932976,0.044342916748576933,1.0395174989142804,0.65876409635984601,0.033429043022887996
Patos Island,1.0338765921237936,0.25761537536448031,0.023244907145237009,1.0418325323042557,-1.4983196173712372,0.039201691003775914
Whaler Bay,1.0005013364933877,-0.75757292426080625,0.011037871732292792,1.0112069992711441,-0.47857846194074227,0.011862448511332828
Tsawwassen,0.99923771112927318,0.92424449367156214,0.013091805549938707,1.0126421471217675,0.19250055965045476,0.010914081758745673
Sandheads,1.0233010808707623,-1.0451803124477905,0.025829179083872469,1.0361421212239543,-0.58860748465968982,0.0314917141320789
Point Grey,0.97663141625262573,-3.3102359963383705,0.058292614349264076,0.96169965330177487,-0.68232080793063687,0.036277369748902104
Point Atkinson,1.0079372829370401,-0.48369867618448481,0.010659689973284885,1.0045664277394344,-0.56480988535423649,0.0093823972255542669
Gibsons Landing,0.97897100673376147,0.7455945482776869,0.023350712066114804,1.0022884096548066,0.95531294135207645,0.014691772926069777
Winchelsea,1.007561894083612,-0.18689963997267256,0.0078448169277056043,1.0118356958765231,0.51066692883500764,0.012991959237545619
Halfmoon Bay,1.0081612554144594,-0.14711824328401235,0.0082506780328917267,1.007750997544349,0.15283693592954251,0.0072164673109975305
Irvines Landing,1.0021150052562591,-0.31653950951609744,0.0058500575794247422,1.0119552125137885,0.24132412236770051,0.011161760992001562
Powell River,1.0034695783092624,-1.7182389651108423,0.030451160786220847,0.99522823794890258,-0.013970943558604176,0.00431927442423383
Little River,1.0254809844891126,0.072731526288727366,0.025360308663059192,1.0057280533283368,0.3270054171209722,0.0073040061472729187
Lund,1.0200462092733984,-2.5184228111825391,0.04977764023460271,1.0218921305508697,-0.94890745185580272,0.024500764348416575
Twin Islets,1.0207056820494631,-2.0502315234787361,0.042201416619439852,1.0067546120351547,-0.23733396852179567,0.0071695218062505913
Campbell River,0.98966100609667562,0.50795256814510736,0.01121143710046375,1.0007957653478274,0.94162283332389052,0.013925175593225201
Maude Island E,1.1305025788496958,-10.024785520254511,0.1262386007402467,0.97430847917664609,-1.4376431746982803,0.028940722241674217
Nymphe Cove,1.021345771433307,-5.4333466765759795,0.060362197926237794,0.9742860604207022,-0.29055502049624238,0.020171381856865261
Seymour Narrows,0.63406445074934148,31.312601021194837,0.53398219166933336,1.1448089040274496,10.907786126939584,0.17277305243692201
Brown Bay,0.98145663574385678,-5.6273395970946467,0.09257764652789173,0.98275388414604026,-0.041315524146341431,0.011720167803875229
Chatham Point,1.0904838971735684,-5.4868287495298205,0.12175468303939345,0.97883822682841237,-3.1777484293928069,0.03845835194496925
Kelsey Bay,1.0043585636667218,-1.6899463654642091,0.034957127425880509,0.9840823227683243,-0.39206103220806199,0.0099847721595576425
Yorke Island,0.99414329637223486,1.5938994094603345,0.03319540610020677,1.0116386380871454,1.2307185676836525,0.013693236642378056
Mean Difference,0.042284621822836939,6.5039694937140498,0.080493757731085858,0.015591644704487786,1.4894321044550494,0.025765702561183036
RMS Difference,0.076731335057081546,10.72840441042591,0.12725439991125884,0.024080524918425772,2.569327141520378,0.03907184373029611
Mean Difference no North no PR,0.030666981016843491,6.6266232588023035,0.063022534066592709,0.0135083322967719,1.1212501898392229,0.021493370526289756
RMS Difference no North no PR,0.043846712331635257,10.981420838699595,0.08550122614906859,0.017823044249353187,1.5463302479923118,0.02480094818384285
